Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish

attactionskills,progression,Attribute,New,Action Skills,,,,,
attActionSkillsName,progression,Attribute,New,Action Skills:,,,,,
attActionSkillsDesc,progression,Attribute,New,"These perks are leveled up by player action in game.  Everytime you use a item of a certain class, you gain experience in using it and will level your skill with said item.  Higher level will give you benifits for that item that may include reduced stamina usage, increased accuracy, heal more, etc.",,,,,

attclasscovertmaster,progression,Attribute,New,Class Covert,,,,,
attClassCovertMasterName,progression,Attribute,New,Class: Covert,,,,,
attClassCovertMasterDesc,progression,Attribute,New,"The covert class perks consists of: light armour, parkour, sexual tyrannosaurus, lightning hands, archery, stealth, brawling, domolitions and spear mastery.",,,,,
attClassCovertMasterRank1Desc,progression,Attribute,New,"Level One",,,,,
attClassCovertMasterRank1LongDesc,progression,Attribute,New,"Unlocks level one covert class perks once the first class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassCovertMasterRank2Desc,progression,Attribute,New,"Level Two",,,,,
attClassCovertMasterRank2LongDesc,progression,Attribute,New,"Unlocks level two covert class perks once the third class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassCovertMasterRank3Desc,progression,Attribute,New,"Level Three",,,,,
attClassCovertMasterRank3LongDesc,progression,Attribute,New,"Unlocks level three covert class perks once the class quest chain is completed.  Player Level requirements also need to be met.",,,,,

attclasssoldiermaster,progression,Attribute,New,Class Soldier,,,,,
attClassSoldierMasterName,progression,Attribute,New,Class: Soldier,,,,,
attClassSoldierMasterDesc,progression,Attribute,New,"The soldier class perks consists of: heavy armour, run and gun, skull crushing, whirlwind, deep cuts and guns.",,,,,
attClassSoldierMasterRank1Desc,progression,Attribute,New,"Level One",,,,,
attClassSoldierMasterRank1LongDesc,progression,Attribute,New,"Unlocks level one soldier class perks once the first class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassSoldierMasterRank2Desc,progression,Attribute,New,"Level Two",,,,,
attClassSoldierMasterRank2LongDesc,progression,Attribute,New,"Unlocks level two soldier class perks once the third class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassSoldierMasterRank3Desc,progression,Attribute,New,"Level Three",,,,,
attClassSoldierMasterRank3LongDesc,progression,Attribute,New,"Unlocks level three soldier class perks once the class quest chain is completed.  Player Level requirements also need to be met.",,,,,

attclasssurvivalistmaster,progression,Attribute,New,Class Survivalist,,,,,
attClassSurvivalistMasterName,progression,Attribute,New,Class: Survivalist,,,,,
attClassSurvivalistMasterDesc,progression,Attribute,New,"The survivalist class perks consists of: iron gut, master chef, physician, animal tracking, huntsman, living off the land, healing factors, pain tolerance and well insulated.",,,,,
attClassSurvivalistMasterRank1Desc,progression,Attribute,New,"Level One",,,,,
attClassSurvivalistMasterRank1LongDesc,progression,Attribute,New,"Unlocks level one survivalist class perks once the first class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassSurvivalistMasterRank2Desc,progression,Attribute,New,"Level Two",,,,,
attClassSurvivalistMasterRank2LongDesc,progression,Attribute,New,"Unlocks level two survivalist class perks once the third class quest is completed.  Player Level requirements also need to be met.",,,,,
attClassSurvivalistMasterRank3Desc,progression,Attribute,New,"Level Three",,,,,
attClassSurvivalistMasterRank3LongDesc,progression,Attribute,New,"Unlocks level three survivalist class perks once the class quest chain is completed.  Player Level requirements also need to be met.",,,,,

attclasstechnicianmaster,progression,Attribute,New,Class Technician,,,,,
attClassTechnicianMasterName,progression,Attribute,New,Class: Technician,,,,,
attClassTechnicianMasterDesc,progression,Attribute,New,"The technician class perks consists of: lucky looter, pack mule, treasure hunter, charasmatic nature, calculated attacks, salvage operations, electricutioner, grease monkey and robotics inventor.",,,,,
attClassTechnicianMasterRank1Desc,progression,Attribute,New,"Level One",,,,,
